intent,pattern,response
on_campus_housing,on-campus housing,Explore on-campus housing options here: https://nau.edu/residence-life/.
campus_events,campus events,Check out upcoming campus events here: https://nau.edu/events/.
course_catalog,classes offered,You can browse NAU's course offerings here: https://catalog.nau.edu/Courses/.
campus_events,activities,Check out upcoming campus events here: https://nau.edu/events/.
course_catalog,subjects,You can browse NAU's course offerings here: https://catalog.nau.edu/Courses/.
housing_application,room selection,Submit your housing application through the Housing Portal: https://nau.edu/residence-life/housing-portal/.
course_catalog,course catalog,You can browse NAU's course offerings here: https://catalog.nau.edu/Courses/.
admission_process,how to apply,You can start your application process here: https://nau.edu/admissions.
housing_application,housing application,Submit your housing application through the Housing Portal: https://nau.edu/residence-life/housing-portal/.
application_deadlines,application deadline,Undergraduate priority deadlines are March 1 for Fall and September 15 for Spring.
course_catalog,courses,You can browse NAU's course offerings here: https://catalog.nau.edu/Courses/.
degree_programs,degree programs,Explore NAU's degree programs here: https://catalog.nau.edu/Catalog/.
course_catalog,subjects,You can browse NAU's course offerings here: https://catalog.nau.edu/Courses/.
on_campus_housing,on-campus housing,Explore on-campus housing options here: https://nau.edu/residence-life/.
greeting,good morning,"Hey! Need help with admissions, housing, or courses?"
greeting,hello,"Hey! Need help with admissions, housing, or courses?"
greeting,hello,"Hey! Need help with admissions, housing, or courses?"
greeting,good morning,"Hey! Need help with admissions, housing, or courses?"
greeting,good morning,Hello! I'm your NAU assistant. What would you like to know?
greeting,hey,Hello! I'm your NAU assistant. What would you like to know?
greeting,good morning,"Hey! Need help with admissions, housing, or courses?"
greeting,hello,Hi there! How can I help you today?
greeting,hi,Hi there! How can I help you today?
greeting,good evening,"Hey! Need help with admissions, housing, or courses?"
greeting,good evening,Hi there! How can I help you today?
greeting,hey,Hi there! How can I help you today?
greeting,hello,Hi there! How can I help you today?
greeting,hey,Hi there! How can I help you today?
greeting,hey,"Hey! Need help with admissions, housing, or courses?"
greeting,hello,"Hey! Need help with admissions, housing, or courses?"
greeting,hi,Hello! I'm your NAU assistant. What would you like to know?
greeting,hi,"Hey! Need help with admissions, housing, or courses?"
greeting,hello,"Hey! Need help with admissions, housing, or courses?"
greeting,good morning,"Hey! Need help with admissions, housing, or courses?"
greeting,good evening,Hello! I'm your NAU assistant. What would you like to know?
greeting,good morning,Hi there! How can I help you today?
greeting,hi,Hi there! How can I help you today?
greeting,hi,Hello! I'm your NAU assistant. What would you like to know?
greeting,good evening,"Hey! Need help with admissions, housing, or courses?"
greeting,hey,"Hey! Need help with admissions, housing, or courses?"
greeting,hey,"Hey! Need help with admissions, housing, or courses?"
greeting,hey,Hi there! How can I help you today?
greeting,hi,Hello! I'm your NAU assistant. What would you like to know?
greeting,hello,Hi there! How can I help you today?
greeting,hello,"Hey! Need help with admissions, housing, or courses?"
greeting,hey,Hi there! How can I help you today?
greeting,good morning,Hello! I'm your NAU assistant. What would you like to know?
greeting,hi,Hello! I'm your NAU assistant. What would you like to know?
greeting,good morning,"Hey! Need help with admissions, housing, or courses?"
greeting,hey,"Hey! Need help with admissions, housing, or courses?"
greeting,good evening,Hi there! How can I help you today?
greeting,hey,"Hey! Need help with admissions, housing, or courses?"
greeting,hi,"Hey! Need help with admissions, housing, or courses?"
greeting,hey,"Hey! Need help with admissions, housing, or courses?"
greeting,hi,Hello! I'm your NAU assistant. What would you like to know?
greeting,hey,"Hey! Need help with admissions, housing, or courses?"
greeting,hey,Hello! I'm your NAU assistant. What would you like to know?
greeting,hey,Hi there! How can I help you today?
greeting,good morning,"Hey! Need help with admissions, housing, or courses?"
greeting,good morning,Hello! I'm your NAU assistant. What would you like to know?
greeting,hi,"Hey! Need help with admissions, housing, or courses?"
greeting,hey,"Hey! Need help with admissions, housing, or courses?"
greeting,hi,Hi there! How can I help you today?
greeting,good morning,"Hey! Need help with admissions, housing, or courses?"
greeting,good evening,"Hey! Need help with admissions, housing, or courses?"
greeting,good evening,Hello! I'm your NAU assistant. What would you like to know?
greeting,hey,"Hey! Need help with admissions, housing, or courses?"
greeting,hello,Hi there! How can I help you today?
greeting,good morning,"Hey! Need help with admissions, housing, or courses?"
greeting,hello,Hi there! How can I help you today?
greeting,good evening,"Hey! Need help with admissions, housing, or courses?"
greeting,hey,"Hey! Need help with admissions, housing, or courses?"
greeting,good evening,"Hey! Need help with admissions, housing, or courses?"
greeting,hello,Hi there! How can I help you today?
greeting,hello,Hello! I'm your NAU assistant. What would you like to know?
greeting,good morning,Hello! I'm your NAU assistant. What would you like to know?
greeting,hello,"Hey! Need help with admissions, housing, or courses?"
greeting,good morning,Hello! I'm your NAU assistant. What would you like to know?
greeting,hello,Hello! I'm your NAU assistant. What would you like to know?
greeting,hey,Hello! I'm your NAU assistant. What would you like to know?
greeting,hi,"Hey! Need help with admissions, housing, or courses?"
greeting,good morning,Hello! I'm your NAU assistant. What would you like to know?
greeting,good evening,Hi there! How can I help you today?
greeting,good morning,Hi there! How can I help you today?
greeting,hello,"Hey! Need help with admissions, housing, or courses?"
greeting,good evening,"Hey! Need help with admissions, housing, or courses?"
greeting,hello,"Hey! Need help with admissions, housing, or courses?"
greeting,hi,Hello! I'm your NAU assistant. What would you like to know?
greeting,good evening,Hi there! How can I help you today?
how_are_you,what's up,"I'm doing great, thanks! How can I assist you today?"
how_are_you,how’s it going,I'm well! Are you looking for course or admission info?
how_are_you,how are you,"I'm doing great, thanks! How can I assist you today?"
how_are_you,how’s it going,All systems operational! Need info on housing or financial aid?
how_are_you,how’s it going,I'm well! Are you looking for course or admission info?
how_are_you,what's up,All systems operational! Need info on housing or financial aid?
how_are_you,how are you,All systems operational! Need info on housing or financial aid?
